Student_ID,Gender,Age,Study_Hours,Attendance_Percentage,Assignment_Score,Midterm_Score,Final_Exam_Score,Extracurricular,Performance_Score,Grade
STU0077,Female,18,Unknown,80.4,57.6,70.8,78.8,Yes,72.2,B
STU0078,Female,18,3.3,77.7,48.6,108.1,71.8,Yes,78,B
STU0079,Male,19,6.3,71.9,80.3,60.7,67,No,67.8,B
STU0080,Female,21,4.2,65.5,69,94.9,50.1,Yes,67.3,B
STU0081,Male,16,3,90.2,62.7,95.5,81.7,Yes,82,A
STU0082,Female,19,3.9,82.7,83.5,64.2,66,Yes,69,B
STU0083,Male,18,5.2,69.1,77.9,80,56.5,Yes,67.8,B
STU0084,Female,16,3.5,69,68.2,94.8,30.9,Yes,57.5,C
STU0085,Male,19,3,78.6,59.6,66.7,73.6,No,68.7,B
STU0086,Male,21,4.9,98.7,85.5,69.1,100.6,No,88.1,A
STU0087,Female,19,4.9,79.4,82.8,63.9,98.9,No,85.2,A
STU0088,Male,21,3.6,67,73.8,57.8,67.1,No,65.6,B
STU0089,Female,18,3.7,79.5,97.2,62.9,65,No,70.8,B
STU0090,Female,21,4.9,,62.2,54.9,81,Yes,69.4,B
STU0091,Female,16,,55,56.7,72.5,59,Yes,62.6,C
STU0092,Female,18,2,81.5,66.7,61.2,78.5,Yes,71,B
STU0093,Female,16,3.2,79.7,74.5,75.3,85.5,Yes,80.2,A
STU0094,Female,20,4.1,89,77.9,50.2,92.4,No,76.8,B
STU0095,Female,17,5.1,,72.1,76.6,72.5,No,73.6,B
STU0096,Female,21,7.2,93.3,79.2,83.7,70.9,No,76.4,B
STU0097,Female,17,6,79.3,,44.1,60.8,Yes,55.6,C
STU0098,Female,17,4.2,70.9,92.3,77.2,61.6,No,72.4,B
STU0099,Female,21,4.5,107.7,74,89.2,70.6,Yes,76.9,B
STU0100,Male,18,2.7,,88.4,55.1,79.5,No,74,B
STU0101,Male,20,4.5,82.1,79.1,95.4,87.7,No,88.3,A
STU0102,Female,16,4,81.8,80.5,77.9,62,Yes,70.5,B
STU0103,Female,19,5.1,84,81.8,62.1,96.4,Yes,83.2,A
STU0104,Female,16,3,80.6,80.4,71.2,69.9,No,72.4,B
STU0105,Female,19,5.4,,82.7,79.8,73.7,No,77.3,B
STU0106,Female,16,,76.5,90.9,73.1,62.8,Yes,71.5,B
STU0107,Female,21,4.3,81.7,77.4,79.5,37.6,No,58.1,C
STU0108,Female,20,5.2,76.6,,59.1,87.3,No,78.1,B
STU0109,Female,19,18,74.9,73.9,74.4,85.1,Yes,79.6,B
STU0110,Male,22,,83.1,92.3,52.2,69.8,No,69,B
STU0111,Female,18,4.9,79.5,66.9,70.4,75,Yes,72,B
STU0112,Male,16,4.5,97,96.6,59.3,81.7,No,78,B
STU0113,Female,16,4.7,55.5,74.5,61.7,50.6,Yes,58.7,C
STU0114,Female,19,3.1,92.9,57.8,89.3,66.1,No,71.4,B
STU0115,Male,18,4.5,,76.5,87.3,85.9,Yes,84.4,A
STU0116,Female,18,5.4,61.3,66.8,80.5,55.2,No,65.1,B
STU0117,Male,21,7.1,78.6,85.1,56.7,78.4,Yes,73.2,B
STU0118,Female,22,6.2,78.3,67.2,67.6,53.7,No,60.6,C
STU0119,Female,21,8.4,67.9,69.6,89,81,No,81.1,A
STU0120,Male,21,3.1,74.2,Absent,74,73.5,No,69.4,B
STU0121,Female,21,6.1,70.9,69.6,104.5,49.8,No,70.2,B
STU0122,Male,21,4.8,99.5,45.9,77.5,91.5,No,78.2,B
STU0123,Female,21,8.4,91.4,56,74.7,63,No,65.1,B
STU0124,Male,20,3,94.7,84.1,67.7,61.8,No,68,B
STU0125,Male,18,3,89.2,84.4,73.9,77,No,77.6,B
STU0126,Female,21,3.4,70.7,,69.9,91.2,No,82.6,A
STU0127,Female,18,0.7,76.8,63.4,81.9,58.8,Yes,66.6,B
STU0128,Male,18,3.6,86.9,74.4,85.4,74.9,Yes,78,B
STU0129,Female,17,3.1,69.8,75,61,80.4,No,73.5,B
STU0130,Female,20,4.8,89.1,61.1,53.4,84.4,Yes,70.4,B
STU0131,Female,21,5.1,79.6,93,46.3,76.6,No,70.8,B
STU0132,Male,16,7.9,78.3,85.5,79.1,68.5,No,75.1,B
STU0133,Male,19,6.2,89.1,,56.6,61.6,Yes,62.2,C
STU0134,Male,22,3.5,86.4,75.3,41.9,75.3,No,65.3,B
STU0135,Male,16,2.9,78.4,77.5,77.4,57.9,No,67.7,B
STU0136,Male,20,5.4,93.6,50.5,106.9,30.2,Yes,57.3,C
STU0137,Male,19,2.1,71.2,72,71.9,80.5,Yes,76.2,B
STU0138,Male,20,7.8,88.2,66.8,83.7,87.6,No,82.3,A
STU0139,Male,18,6.6,87.9,63,73.1,38.6,Yes,53.8,C
STU0140,Male,19,3.7,78.9,71.6,70.6,58.9,Yes,65,C
STU0141,Female,18,1.4,85.3,96.6,84.9,83.3,No,86.4,A
STU0142,Male,16,6.9,69.5,82.7,67.9,104.9,Yes,89.4,A
STU0143,Female,16,4.3,91.2,68.1,75.7,74.3,Yes,73.5,B
STU0144,Female,19,6.7,80.2,81.9,76.5,63.1,No,70.9,B
STU0145,Female,19,1.6,76.8,91.8,62.6,71.3,Yes,72.8,B
STU0146,Male,21,3.4,92.5,86.1,85.9,94.6,Yes,90.3,A
STU0147,Male,20,4.5,75,,69.6,64.3,No,68.2,B
STU0148,Male,21,4.6,67.9,67.2,61.4,,No,62.9,C
STU0149,Male,20,3.7,66.4,83.4,79.5,66.8,No,73.9,B
STU0150,Female,21,5.6,88.1,79.7,59.4,59.7,Yes,63.6,C
STU0151,Male,18,2.6,69.2,85.7,72.4,75.8,No,76.8,B
STU0152,Male,19,,99.5,82.6,71.9,98.4,No,87.3,A
STU0153,Male,16,4.7,61.2,87.6,87.2,78.8,Yes,83.1,A
STU0154,Male,20,5.4,99,68.6,78.6,70.2,No,72.4,B
STU0155,Male,20,5.8,84.1,90.8,71.6,69.6,No,74.4,B
STU0156,Female,16,2.5,81,77.4,83.4,50.6,No,65.8,B
STU0157,Male,21,1.7,5,99.9,91.5,87.2,No,91,A
STU0158,Female,20,6.8,86,66.7,79.8,72.8,Yes,73.7,B
STU0159,Male,22,5.1,81.6,95.8,72.1,71.3,No,76.4,B
STU0160,Female,18,3.2,93,77.4,53.6,121.9,No,92.5,A
STU0161,Male,19,7.3,83.1,67.2,57.1,78.5,Yes,69.8,B
STU0162,Male,16,4.7,,69.2,67.7,62.7,No,65.5,B
STU0163,Female,19,,78.4,71.2,63.5,67.6,Yes,67.1,B
STU0164,Female,22,4.6,81.4,80.1,69.4,91.2,Yes,82.4,A
STU0165,Female,20,8.2,85.1,81.3,72.8,75.7,Yes,76,B
STU0166,Male,20,7.7,64.9,68.1,79.4,52.4,No,63.6,C
STU0167,Female,22,4.1,68.5,74.7,71,87.8,Yes,80.1,A
STU0168,Male,16,6.2,89.4,100.7,78.8,64,Yes,75.8,B
STU0169,Male,18,5.7,83.7,95.7,72.9,102.1,Yes,92.1,A
STU0170,Female,17,7,80.2,80.2,44.3,90.2,No,74.4,B
STU0171,Female,16,2.8,82.2,75.5,58.8,67.3,No,66.4,B
STU0172,Male,17,5.7,85.5,,70,93.2,No,82.9,A
STU0173,Male,22,6.4,76.6,82.4,55.1,75,No,70.5,B
STU0174,Female,21,Unknown,74.2,62.7,80.4,86.8,No,80.1,A
STU0175,Female,17,2.4,84,71.9,93.4,81.3,No,83.1,A
STU0176,Female,18,,72.2,55,89.1,61.3,No,68.4,B
STU0177,Male,21,,86.1,79.8,69,,Yes,68.8,B
STU0178,Male,17,5.8,65,82.8,92.9,89.4,Yes,89.1,A
STU0179,Male,22,7.2,92.3,69.2,74.1,69,Yes,70.6,B
STU0180,Male,21,4.6,86.7,93.9,67.3,67.9,Yes,72.9,B
STU0181,Male,22,7.4,84.6,60.3,63.4,59.7,No,60.9,C
STU0182,Male,17,2,91.8,57.4,67.8,80.4,Yes,72,B
STU0183,Female,22,1.4,98.7,77.7,66.6,104.9,Yes,88,A
STU0184,Male,18,4.4,92.1,87.6,74.4,58,Yes,68.8,B
STU0185,Male,17,5.2,63.6,95.2,74.2,74.4,Yes,78.5,B
STU0186,Male,17,,69.2,69.5,72,95.2,No,83.1,A
STU0187,Female,17,0.8,75.8,87.9,78.1,72.8,No,77.4,B
STU0188,Male,16,4.3,82.3,74.5,88.7,80.8,No,81.9,A
STU0189,Male,16,2.2,87.2,72.9,85.3,58.1,Yes,69.2,B
STU0190,Female,16,5.7,,85.6,51.2,80.4,No,72.7,B
STU0191,Male,18,5.2,83.9,82.8,36.2,71.2,Yes,63,C
STU0192,Male,21,2.8,,56.1,85.1,88.8,No,81.2,A
STU0193,Male,22,3.6,,92.7,52.9,91.8,No,80.3,A
STU0194,Male,20,,67.9,91.6,68.9,112.8,No,95.4,A
STU0195,Male,17,4.4,72.8,67.5,55.6,82.7,No,71.5,B
STU0196,Female,22,6.2,68.5,79.7,46.8,78.9,No,69.4,B
STU0197,Female,17,2.7,72.2,80.9,79.6,76.9,Yes,78.5,B
STU0198,Female,18,5.4,92.5,78.1,82.6,68.7,No,74.8,B
STU0199,Male,17,3.5,72.5,68.4,63.9,79.1,Yes,72.4,B
STU0200,Male,16,3.1,108.3,66.9,35.7,69.6,Yes,58.9,C
STU0201,Male,20,4.3,86.9,74.7,64.4,76.5,Yes,72.5,B
STU0202,Female,19,2.6,83.8,89.1,77.5,93.8,Yes,88,A
STU0203,Male,17,3.5,73.4,81.5,51.3,58.9,Yes,61.1,C
STU0204,Male,22,2.3,89,70.6,74.6,91.1,No,82,A
STU0205,Female,16,8,76.2,84.3,71.8,93.8,No,85.3,A
STU0206,Male,19,4.6,83.2,40.8,80.1,72.2,No,68.3,B
STU0207,Female,20,3.2,107.6,88.8,73.7,42.2,No,61,C
STU0208,Female,19,4.9,81,54.1,58.4,64.9,Yes,60.8,C
STU0209,Female,16,4.3,93.5,70.7,88.8,93.5,No,87.5,A
STU0210,Male,21,4.1,75,61.6,69.8,73.7,No,70.1,B
STU0211,Male,21,5.6,81.7,59.5,71.6,59,Yes,62.9,C
STU0212,Male,19,5.9,99.7,88.9,58.9,66.4,Yes,68.6,B
STU0213,Male,18,3.5,75.7,69.4,65.8,86.6,No,76.9,B
STU0214,Male,22,3.5,100.1,79.2,59.6,82.2,No,74.8,B
STU0215,Male,22,4,5,74.4,69.6,70.4,Yes,71,B
STU0216,Male,19,0.4,76.4,,96,68.5,No,79.2,B
STU0217,Female,17,1.8,88.3,75.9,52.8,,No,65.1,B
STU0218,Male,17,7,91.7,59.6,49.4,60.2,No,56.8,C
STU0219,Female,22,7.5,88.2,87,92.6,98.2,No,94.3,A
STU0220,Male,22,4.1,66.3,69.1,69.1,69.2,Yes,69.2,B
STU0221,Male,21,5.5,74.7,56.3,62.6,92.3,Yes,76.2,B
STU0222,Male,18,5.1,79.5,69.9,86.6,96.8,Yes,88.4,A
STU0223,Female,16,10,81.3,93,63.5,89,No,82.2,A
STU0224,Female,17,6.5,88.2,85.2,97.6,67.5,No,80.1,A
STU0225,Female,22,4.3,83.8,,81.5,80.1,No,78.7,B
STU0226,Female,21,2.8,68.6,70.8,65.2,73.6,No,70.5,B
STU0227,Male,20,1.6,,71.1,102.2,60.4,No,75.1,B
STU0228,Female,21,,88.1,99.9,63.5,78.9,Yes,78.5,B
STU0229,Male,17,3.1,,79.6,82.4,56.3,No,68.8,B
STU0230,Male,17,1.9,92.8,,76.2,91.8,No,84.8,A
STU0231,Female,21,3.3,90.3,87.4,90.2,67,Yes,78,B
STU0232,Female,16,2.6,86.6,77.9,93.9,77,No,82.2,A
STU0233,Female,19,7.5,81.3,71.9,72.4,78.2,Yes,75.2,B
STU0234,Female,17,6.1,,72.6,61.5,70.1,Yes,68,B
STU0235,Female,21,,86.3,74.1,78.4,82.8,Yes,79.7,B
STU0236,Female,22,7.2,84.1,74.6,62.5,66.9,Yes,67.1,B
STU0237,Female,21,18,84.7,83.7,100.2,87.1,Yes,90.4,A
STU0238,Female,18,2.9,69.2,75.6,73.9,53.8,No,64.2,C
STU0239,Male,19,7.2,71.2,83.8,66.9,75.9,Yes,74.8,B
STU0240,Female,20,5.5,92.5,74,74.6,103.1,Yes,88.7,A
STU0241,Female,16,2.6,81.6,75.9,53.1,59,No,60.6,C
STU0242,Male,20,4.2,88.8,51,58.4,63.8,No,59.6,C
STU0243,Female,19,2.9,82.3,,88.8,81.7,Yes,84.7,A
STU0244,Male,19,2,82.3,79.2,62.8,76.7,No,73,B
STU0245,Male,19,6.2,91.4,87,57.3,79.3,No,74.2,B
STU0246,Female,20,7.9,76.8,40.2,79.5,81.3,Yes,72.5,B
STU0247,Male,22,2,83,100.1,88.6,83.5,Yes,88.4,A
STU0248,Male,19,5.5,77.4,73.3,82.1,90.6,No,84.6,A
STU0249,Male,21,3.3,77.7,88.3,85.9,80.1,Yes,83.5,A
STU0250,Male,20,3.6,,62.5,61.4,70.4,Yes,66.1,B
STU0251,Female,19,18,84.2,82.4,52.1,84.1,No,74.2,B
STU0252,Male,21,2.9,77.2,Absent,93,102.5,Yes,91.6,A
STU0253,Female,22,4.6,94.6,67.5,67.5,72,Yes,69.8,B
STU0254,Male,18,Unknown,73.1,98,68.5,59.4,Yes,69.9,B
STU0255,Male,22,5,80.1,72.7,90.6,90.6,Yes,87,A
STU0256,Male,19,4.4,77.6,77.6,79.8,72.2,Yes,75.6,B
STU0257,Male,20,4.1,,85.4,78.4,41.4,No,61.3,C
STU0258,Female,17,2.9,84,80.9,102.3,86.7,No,90.2,A
STU0259,Female,19,3.5,92.3,76.8,63,66,Yes,67.3,B
STU0260,Male,17,5.9,67.1,79.4,85,72.6,No,77.7,B
STU0261,Male,21,5.4,84.7,103.8,72.8,79,Yes,82.1,A
STU0262,Female,18,2.7,90.9,74.3,75.8,76.9,Yes,76,B
STU0263,Male,16,4.7,82.8,77.4,93.4,84.6,Yes,85.8,A
STU0264,Male,22,5.9,92.7,87.6,79.1,67.5,Yes,75,B
STU0265,Male,18,1.5,76.8,88.3,79.5,81.7,Yes,82.4,A
STU0266,Female,19,,96.1,89.2,87,70.1,No,79,B
STU0267,Female,17,3.3,105,82.7,66.9,85.1,No,79.2,B
STU0268,Female,22,5.5,78.4,61.3,60.3,83.2,Yes,72,B
STU0269,Male,17,Unknown,77.5,94.6,57.4,60,No,66.1,B
STU0270,Male,20,1.3,96.5,61.2,44.5,90.3,Yes,70.7,B
STU0271,Female,17,1.6,97.8,78.6,100.8,66,No,79,B
STU0272,Female,20,4.6,76.8,65.9,56.6,86.1,Yes,73.2,B
STU0273,Female,21,5,77.8,74.2,68.9,79.5,No,75.3,B
STU0274,Female,22,2.9,79.2,78.9,68.1,101.6,Yes,87,A
STU0275,Male,22,5.6,68.6,78.9,76.3,70.6,Yes,74,B
STU0276,Female,16,1.5,72.8,80.1,83.4,68.8,No,75.4,B
STU0277,Male,19,4.4,72,94.4,84,73.7,No,80.9,A
STU0278,Female,20,2.3,74.3,80.4,63.8,69.5,Yes,70,B
STU0279,Male,16,3.3,81.7,72.1,69.7,86,No,78.3,B
STU0280,Female,17,4.6,84.3,86.6,76,49.8,Yes,65,C
STU0281,Female,17,3,97.5,89.3,68.5,58.2,No,67.5,B
STU0282,Female,16,3.8,72,60.3,94.5,58,No,69.4,B
STU0283,Female,22,6.3,91.8,82.2,78.9,88.3,Yes,84.3,A
STU0284,Male,17,3.5,79.9,83.4,82.3,99.7,No,91.2,A
STU0285,Female,21,6,81.5,71.4,81.3,72.4,No,74.9,B
STU0286,Male,21,2.5,88.7,,88.4,71.5,Yes,80.6,A
STU0287,Male,16,5.5,70.8,,74.5,75.1,No,74.5,B
STU0288,Male,20,7.1,85.8,76.5,53.8,91.4,Yes,77.1,B
STU0289,Male,20,0.1,83.7,72.9,77.6,60.1,Yes,67.9,B
STU0290,Female,16,3.1,86.9,75.2,62.9,77.6,Yes,72.7,B
STU0291,Male,20,5.5,84.9,61.8,64.6,88.6,Yes,76,B
STU0292,Male,22,4.1,106.6,57.7,80.2,81.5,Yes,76.4,B
STU0293,Male,22,5.2,75.6,94.1,89.3,76.8,No,84,A
STU0294,Female,20,3.4,76.7,64.8,72.3,89,Yes,79.2,B
STU0295,Female,21,4.7,75.8,63.1,76.3,33.5,Yes,52.3,C
STU0296,Female,20,4.2,76.4,49.2,95.8,84.2,No,80.7,A
STU0297,Female,22,6.6,75.6,67.3,75.4,64.2,No,68.2,B
STU0298,Male,18,5,93.9,59.1,108.4,46.5,No,67.6,B
STU0299,Male,19,5.1,96.2,94.7,79.9,81.7,Yes,83.8,A
STU0300,Female,17,3.8,76.3,87.1,47.3,94.6,Yes,78.9,B
STU0190,Female,16,5.7,,85.6,51.2,80.4,No,72.7,B
STU0124,Male,20,3,94.7,84.1,67.7,61.8,No,68,B
STU0186,Male,17,,69.2,69.5,72,95.2,No,83.1,A
STU0214,Male,22,3.5,100.1,79.2,59.6,82.2,No,74.8,B
STU0107,Female,21,4.3,81.7,77.4,79.5,37.6,No,58.1,C
STU0128,Male,18,3.6,86.9,74.4,85.4,74.9,Yes,78,B
STU0177,Male,21,,86.1,79.8,69,,Yes,68.8,B
STU0074,Female,16,18,92.9,74.2,102.9,57.2,No,74.3,B
STU0276,Female,16,1.5,72.8,80.1,83.4,68.8,No,75.4,B
STU0243,Female,19,2.9,82.3,,88.8,81.7,Yes,84.7,A
STU0267,Female,17,3.3,105,82.7,66.9,85.1,No,79.2,B
STU0148,Male,21,4.6,67.9,67.2,61.4,,No,62.9,C
STU0300,Female,17,3.8,76.3,87.1,47.3,94.6,Yes,78.9,B
STU0059,Male,22,6.8,106.5,73.9,67.9,72.8,Yes,71.6,B
STU0123,Female,21,8.4,91.4,56,74.7,63,No,65.1,B
